player,round,hole,strokes,par,score
"Montano, Fabio",1,7,3,3,0
"Montano, Fabio",1,8,4,4,0
"Montano, Fabio",1,9,5,5,0
"Montano, Fabio",1,10,4,4,0
"Montano, Fabio",1,11,4,4,0
"Montano, Fabio",1,12,2,3,-1
"Montano, Fabio",1,13,5,4,1
"Montano, Fabio",1,14,6,5,1
"Montano, Fabio",1,15,4,4,0
"Montano, Fabio",1,16,4,4,0
"Montano, Fabio",1,17,5,5,0
"Montano, Fabio",1,18,3,3,0
"Brindis, Manuel",1,1,4,5,-1
"Brindis, Manuel",1,2,5,4,1
"Brindis, Manuel",1,3,5,3,2
"Brindis, Manuel",1,4,4,4,0
"Brindis, Manuel",1,5,4,4,0
"Brindis, Manuel",1,6,2,4,-2
"Brindis, Manuel",1,7,4,3,1
"Brindis, Manuel",1,8,4,4,0
"Brindis, Manuel",1,9,4,5,-1
"Brindis, Manuel",1,10,4,4,0
"Brindis, Manuel",1,11,5,4,1
"Brindis, Manuel",1,12,3,3,0
"Brindis, Manuel",1,13,4,4,0
"Brindis, Manuel",1,14,7,5,2
"Brindis, Manuel",1,15,4,4,0
"Brindis, Manuel",1,16,4,4,0
"Brindis, Manuel",1,17,6,5,1
"Brindis, Manuel",1,18,2,3,-1
"Copello, Mariano",1,1,5,5,0
"Copello, Mariano",1,2,5,4,1
"Copello, Mariano",1,3,4,3,1
"Copello, Mariano",1,4,5,4,1
"Copello, Mariano",1,5,4,4,0
"Copello, Mariano",1,6,3,4,-1
"Copello, Mariano",1,7,3,3,0
"Copello, Mariano",1,8,5,4,1
"Copello, Mariano",1,9,6,5,1
"Copello, Mariano",1,10,4,4,0
"Copello, Mariano",1,11,4,4,0
"Copello, Mariano",1,12,3,3,0
"Copello, Mariano",1,13,4,4,0
"Copello, Mariano",1,14,5,5,0
"Copello, Mariano",1,15,4,4,0
"Copello, Mariano",1,16,3,4,-1
"Copello, Mariano",1,17,5,5,0
"Copello, Mariano",1,18,4,3,1
"Barragan, Osvaldo",1,1,4,5,-1
"Barragan, Osvaldo",1,2,4,4,0
"Barragan, Osvaldo",1,3,5,3,2
"Barragan, Osvaldo",1,4,5,4,1
"Barragan, Osvaldo",1,5,3,4,-1
"Barragan, Osvaldo",1,6,4,4,0
"Barragan, Osvaldo",1,7,4,3,1
"Barragan, Osvaldo",1,8,5,4,1
"Barragan, Osvaldo",1,9,4,5,-1
"Barragan, Osvaldo",1,10,4,4,0
"Barragan, Osvaldo",1,11,4,4,0
"Barragan, Osvaldo",1,12,4,3,1
"Barragan, Osvaldo",1,13,4,4,0
"Barragan, Osvaldo",1,14,5,5,0
"Barragan, Osvaldo",1,15,5,4,1
"Barragan, Osvaldo",1,16,5,4,1
"Barragan, Osvaldo",1,17,4,5,-1
"Barragan, Osvaldo",1,18,3,3,0
"Hood, Alex",1,1,4,5,-1
"Hood, Alex",1,2,4,4,0
"Hood, Alex",1,3,4,3,1
"Hood, Alex",1,4,5,4,1
"Hood, Alex",1,5,4,4,0
"Hood, Alex",1,6,3,4,-1
"Hood, Alex",1,7,4,3,1
"Hood, Alex",1,8,3,4,-1
"Hood, Alex",1,9,5,5,0
"Hood, Alex",1,10,4,4,0
"Hood, Alex",1,11,3,4,-1
"Hood, Alex",1,12,2,3,-1
"Hood, Alex",1,13,4,4,0
"Hood, Alex",1,14,6,5,1
"Hood, Alex",1,15,4,4,0
"Hood, Alex",1,16,4,4,0
"Hood, Alex",1,17,5,5,0
"Hood, Alex",1,18,4,3,1
"Bhasin, Gurmukh",1,1,5,5,0
"Bhasin, Gurmukh",1,2,5,4,1
"Bhasin, Gurmukh",1,3,3,3,0
"Bhasin, Gurmukh",1,4,6,4,2
"Bhasin, Gurmukh",1,5,4,4,0
"Bhasin, Gurmukh",1,6,3,4,-1
"Bhasin, Gurmukh",1,7,4,3,1
"Bhasin, Gurmukh",1,8,4,4,0
"Bhasin, Gurmukh",1,9,4,5,-1
